"dateTime","weather","lineNumber","passengersNumber","lineType"
"2019-04-07",25,33,1350,"daily"
"2019-04-07",25,35,125,"daily"
"2019-04-07",25,37,311,"daily"
"2019-04-07",25,42,291,"daily"
"2019-04-07",25,38,201,"daily"
"2019-04-07",25,16,553,"daily"
"2019-04-08",26,27,2994,"daily"
"2019-04-08",26,40,2333,"daily"
"2019-04-08",26,38,323,"daily"
"2019-04-08",26,28,13204,"daily"
"2019-04-08",26,26,4696,"daily"
"2019-04-08",26,24,3024,"daily"
"2019-04-08",26,36,1417,"daily"
"2019-04-08",26,37,957,"daily"
"2019-04-08",26,41,1135,"daily"
"2019-04-08",26,5,9618,"daily"
"2019-04-08",26,23,881,"daily"
"2019-04-08",26,6,95,"daily"
"2019-04-08",26,29,2755,"daily"
"2019-04-08",26,35,748,"daily"
"2019-04-08",26,46,171,"daily"
"2019-04-08",26,17,7457,"daily"
"2019-04-08",26,45,1762,"daily"
"2019-04-08",26,43,366,"daily"
"2019-04-08",26,25,3144,"daily"
"2019-04-08",26,16,874,"daily"
"2019-04-08",26,13,10949,"daily"
"2019-04-08",26,42,348,"daily"
"2019-04-08",26,9,3468,"daily"
"2019-04-08",26,21,1677,"daily"
"2019-04-08",26,19,1435,"daily"
"2019-04-08",26,33,4902,"daily"
"2019-04-08",26,14,4058,"daily"
"2019-04-08",26,8,2208,"daily"
"2019-04-08",26,31,3026,"daily"
"2019-04-08",26,18,2003,"daily"
"2019-04-08",26,32,792,"daily"
"2019-04-10",25,14,4196,"daily"
"2019-04-10",25,23,926,"daily"
"2019-04-10",25,46,174,"daily"
"2019-04-10",25,21,1758,"daily"
"2019-04-10",25,8,2358,"daily"
"2019-04-10",25,42,410,"daily"
"2019-04-10",25,17,7816,"daily"
"2019-04-10",25,19,1632,"daily"
"2019-04-10",25,6,61,"daily"
"2019-04-10",25,29,2946,"daily"
"2019-04-10",25,5,9974,"daily"
"2019-04-10",25,24,2916,"daily"
"2019-04-10",25,13,11398,"daily"
"2019-04-10",25,18,2366,"daily"
"2019-04-10",25,9,3549,"daily"
"2019-04-10",25,45,1726,"daily"
"2019-04-10",25,37,1082,"daily"
"2019-04-10",25,33,5042,"daily"
"2019-04-10",25,38,342,"daily"
"2019-04-10",25,16,952,"daily"
"2019-04-10",25,41,1236,"daily"
"2019-04-10",25,36,1336,"daily"
"2019-04-10",25,40,2419,"daily"
"2019-04-10",25,28,13337,"daily"
"2019-04-10",25,25,3120,"daily"
"2019-04-10",25,32,868,"daily"
"2019-04-10",25,31,2939,"daily"
"2019-04-10",25,27,2979,"daily"
"2019-04-10",25,43,418,"daily"
"2019-04-10",25,35,656,"daily"
"2019-04-10",25,26,5097,"daily"
"2019-04-11",26,24,3155,"daily"
"2019-04-11",26,23,927,"daily"
"2019-04-11",26,37,988,"daily"
"2019-04-11",26,8,2427,"daily"
"2019-04-11",26,35,739,"daily"
"2019-04-11",26,36,1433,"daily"
"2019-04-11",26,32,854,"daily"
"2019-04-11",26,27,3100,"daily"
"2019-04-11",26,33,5231,"daily"
"2019-04-11",26,18,2294,"daily"
"2019-04-11",26,9,3513,"daily"
"2019-04-11",26,5,9887,"daily"
"2019-04-11",26,6,58,"daily"
"2019-04-11",26,17,7657,"daily"
"2019-04-11",26,46,174,"daily"
"2019-04-11",26,13,11257,"daily"
"2019-04-11",26,25,3644,"daily"
"2019-04-11",26,40,2297,"daily"
"2019-04-11",26,21,1737,"daily"
"2019-04-11",26,29,2954,"daily"
"2019-04-11",26,45,1718,"daily"
"2019-04-11",26,14,4267,"daily"
"2019-04-11",26,42,387,"daily"
"2019-04-11",26,31,3070,"daily"
"2019-04-11",26,28,13735,"daily"
"2019-04-11",26,38,329,"daily"
"2019-04-11",26,26,5057,"daily"
"2019-04-11",26,16,960,"daily"
"2019-04-11",26,43,419,"daily"
"2019-04-11",26,19,1754,"daily"
"2019-04-11",26,41,1234,"daily"
"2019-04-12",23,37,922,"daily"
"2019-04-12",23,106,125,"night"
"2019-04-12",23,25,3710,"daily"
"2019-04-12",23,31,2988,"daily"
"2019-04-12",23,110,153,"night"
"2019-04-12",23,108,63,"night"
"2019-04-12",23,109,44,"night"
"2019-04-12",23,102,35,"night"
"2019-04-12",23,23,955,"daily"
"2019-04-12",23,27,2687,"daily"
"2019-04-12",23,24,2513,"daily"
"2019-04-12",23,32,895,"daily"
"2019-04-12",23,29,2921,"daily"
"2019-04-12",23,21,1631,"daily"
"2019-04-12",23,26,5117,"daily"
"2019-04-12",23,101,124,"night"
"2019-04-12",23,42,432,"daily"
"2019-04-12",23,38,326,"daily"
"2019-04-12",23,28,12813,"daily"
"2019-04-12",23,35,719,"daily"
"2019-04-12",23,103,61,"night"
"2019-04-12",23,45,1900,"daily"
"2019-04-12",23,19,1890,"daily"
"2019-04-12",23,40,2103,"daily"
"2019-04-12",23,41,1076,"daily"
"2019-04-12",23,13,11367,"daily"
"2019-04-12",23,9,3367,"daily"
"2019-04-12",23,43,349,"daily"
"2019-04-12",23,33,4867,"daily"
"2019-04-12",23,46,157,"daily"
"2019-04-12",23,18,2360,"daily"
"2019-04-12",23,17,6949,"daily"
"2019-04-12",23,5,9530,"daily"
"2019-04-12",23,6,69,"daily"
"2019-04-12",23,16,1267,"daily"
"2019-04-12",23,36,1397,"daily"
"2019-04-12",23,104,120,"night"
"2019-04-12",23,8,2288,"daily"
"2019-04-12",23,14,4377,"daily"
"2019-04-13",12,38,234,"daily"
"2019-04-13",12,110,239,"night"
"2019-04-13",12,108,154,"night"
"2019-04-13",12,109,125,"night"
"2019-04-13",12,21,1462,"daily"
"2019-04-13",12,106,300,"night"
"2019-04-13",12,5,7275,"daily"
"2019-04-13",12,37,643,"daily"
"2019-04-13",12,104,290,"night"
"2019-04-13",12,23,657,"daily"
"2019-04-13",12,26,4305,"daily"
"2019-04-13",12,45,1134,"daily"
"2019-04-13",12,41,630,"daily"
"2019-04-13",12,19,1676,"daily"
"2019-04-13",12,36,898,"daily"
"2019-04-13",12,101,428,"night"
"2019-04-13",12,42,435,"daily"
"2019-04-13",12,25,3054,"daily"
"2019-04-13",12,46,156,"daily"
"2019-04-13",12,35,179,"daily"
"2019-04-13",12,6,22,"daily"
"2019-04-13",12,24,1326,"daily"
"2019-04-13",12,18,1538,"daily"
"2019-04-13",12,103,315,"night"
"2019-04-13",12,27,1335,"daily"
"2019-04-13",12,17,3177,"daily"
"2019-04-13",12,102,152,"night"
"2019-04-13",12,33,2828,"daily"
"2019-04-13",12,14,2983,"daily"
"2019-04-13",12,9,2995,"daily"
"2019-04-13",12,32,553,"daily"
"2019-04-13",12,29,2462,"daily"
"2019-04-13",12,8,1845,"daily"
"2019-04-13",12,28,8729,"daily"
"2019-04-13",12,16,1639,"daily"
"2019-04-13",12,31,1757,"daily"
"2019-04-13",12,13,9251,"daily"
"2019-04-14",15,33,1536,"daily"
"2019-04-14",15,37,436,"daily"
"2019-04-14",15,45,1089,"daily"
"2019-04-14",15,35,152,"daily"
"2019-04-14",15,32,314,"daily"
"2019-04-14",15,36,472,"daily"
"2019-04-14",15,18,939,"daily"
"2019-04-14",15,42,329,"daily"
"2019-04-14",15,46,93,"daily"
"2019-04-14",15,21,773,"daily"
"2019-04-14",15,17,3618,"daily"
"2019-04-14",15,41,293,"daily"
"2019-04-14",15,31,954,"daily"
"2019-04-14",15,24,343,"daily"
"2019-04-14",15,16,1103,"daily"
"2019-04-14",15,5,5395,"daily"
"2019-04-14",15,38,183,"daily"
"2019-04-14",15,29,1626,"daily"
"2019-04-14",15,27,655,"daily"
"2019-04-14",15,14,1806,"daily"
"2019-04-14",15,13,6242,"daily"
"2019-04-14",15,23,317,"daily"
"2019-04-14",15,26,2632,"daily"
"2019-04-14",15,6,32,"daily"
"2019-04-14",15,19,1040,"daily"
"2019-04-14",15,28,8749,"daily"
"2019-04-14",15,9,2066,"daily"
"2019-04-14",15,8,1262,"daily"
"2019-04-14",15,25,1768,"daily"
"2019-04-15",25,19,1546,"daily"
"2019-04-15",25,23,772,"daily"
"2019-04-15",25,14,3379,"daily"
"2019-04-15",25,35,669,"daily"
"2019-04-15",25,33,4188,"daily"
"2019-04-15",25,6,39,"daily"
"2019-04-15",25,32,648,"daily"
"2019-04-15",25,18,1775,"daily"
"2019-04-15",25,17,6598,"daily"
"2019-04-15",25,46,169,"daily"
"2019-04-15",25,45,1590,"daily"
"2019-04-15",25,21,1563,"daily"
"2019-04-15",25,16,1514,"daily"
"2019-04-15",25,9,3222,"daily"
"2019-04-15",25,25,3131,"daily"
"2019-04-15",25,40,1988,"daily"
"2019-04-15",25,5,9050,"daily"
"2019-04-15",25,8,2192,"daily"
"2019-04-15",25,31,2441,"daily"
"2019-04-15",25,29,2658,"daily"
"2019-04-15",25,41,947,"daily"
"2019-04-15",25,26,4780,"daily"
"2019-04-15",25,24,2548,"daily"
"2019-04-15",25,36,1350,"daily"
"2019-04-15",25,37,913,"daily"
"2019-04-15",25,38,340,"daily"
"2019-04-15",25,13,9265,"daily"
"2019-04-15",25,28,11869,"daily"
"2019-04-15",25,43,304,"daily"
"2019-04-15",25,42,383,"daily"
"2019-04-15",25,27,2432,"daily"
"2019-04-16",13,14,3658,"daily"
"2019-04-16",13,40,1841,"daily"
"2019-04-16",13,41,841,"daily"
"2019-04-16",13,13,9675,"daily"
"2019-04-16",13,38,283,"daily"
"2019-04-16",13,26,4712,"daily"
"2019-04-16",13,37,830,"daily"
"2019-04-16",13,42,375,"daily"
"2019-04-16",13,16,1655,"daily"
"2019-04-16",13,9,3260,"daily"
"2019-04-16",13,27,2403,"daily"
"2019-04-16",13,8,2336,"daily"
"2019-04-16",13,25,3377,"daily"
"2019-04-16",13,18,2001,"daily"
"2019-04-16",13,19,1719,"daily"
"2019-04-16",13,21,1599,"daily"
"2019-04-16",13,6,56,"daily"
"2019-04-16",13,17,6226,"daily"
"2019-04-16",13,23,823,"daily"
"2019-04-16",13,31,2457,"daily"
"2019-04-16",13,32,720,"daily"
"2019-04-16",13,29,2881,"daily"
"2019-04-16",13,28,11852,"daily"
"2019-04-16",13,36,1345,"daily"
"2019-04-16",13,35,613,"daily"
"2019-04-16",13,5,9056,"daily"
"2019-04-16",13,24,2332,"daily"
"2019-04-16",13,33,4207,"daily"
"2019-04-16",13,46,183,"daily"
"2019-04-16",13,45,1511,"daily"
"2019-04-16",13,43,316,"daily"
"2019-04-17",17,40,1780,"daily"
"2019-04-17",17,42,386,"daily"
"2019-04-17",17,28,11743,"daily"
"2019-04-17",17,27,2223,"daily"
"2019-04-17",17,41,819,"daily"
"2019-04-17",17,14,3499,"daily"
"2019-04-17",17,16,1540,"daily"
"2019-04-17",17,103,53,"night"
"2019-04-17",17,43,264,"daily"
"2019-04-17",17,26,4672,"daily"
"2019-04-17",17,38,323,"daily"
"2019-04-17",17,13,9412,"daily"
"2019-04-17",17,33,3995,"daily"
"2019-04-17",17,104,76,"night"
"2019-04-17",17,31,2379,"daily"
"2019-04-17",17,32,691,"daily"
"2019-04-17",17,25,3470,"daily"
"2019-04-17",17,45,1765,"daily"
"2019-04-17",17,35,570,"daily"
"2019-04-17",17,29,2714,"daily"
"2019-04-17",17,36,1307,"daily"
"2019-04-17",17,37,885,"daily"
"2019-04-17",17,110,64,"night"
"2019-04-17",17,17,6064,"daily"
"2019-04-17",17,9,3107,"daily"
"2019-04-17",17,24,2132,"daily"
"2019-04-17",17,8,2126,"daily"
"2019-04-17",17,102,37,"night"
"2019-04-17",17,109,21,"night"
"2019-04-17",17,18,1880,"daily"
"2019-04-17",17,108,19,"night"
"2019-04-17",17,6,68,"daily"
"2019-04-17",17,46,176,"daily"
"2019-04-17",17,101,73,"night"
"2019-04-17",17,23,683,"daily"
"2019-04-17",17,5,9134,"daily"
"2019-04-17",17,106,68,"night"
"2019-04-17",17,19,1758,"daily"
"2019-04-17",17,21,1561,"daily"
"2019-04-18",25,24,267,"daily"
"2019-04-18",25,110,88,"night"
"2019-04-18",25,28,6229,"daily"
"2019-04-18",25,25,1949,"daily"
"2019-04-18",25,18,992,"daily"
"2019-04-18",25,23,223,"daily"
"2019-04-18",25,38,162,"daily"
"2019-04-18",25,41,328,"daily"
"2019-04-18",25,35,108,"daily"
"2019-04-18",25,42,300,"daily"
"2019-04-18",25,108,41,"night"
"2019-04-18",25,19,1060,"daily"
"2019-04-18",25,17,2078,"daily"
"2019-04-18",25,29,1435,"daily"
"2019-04-18",25,45,799,"daily"
"2019-04-18",25,21,771,"daily"
"2019-04-18",25,37,303,"daily"
"2019-04-18",25,32,263,"daily"
"2019-04-18",25,33,1468,"daily"
"2019-04-18",25,27,266,"daily"
"2019-04-18",25,26,2454,"daily"
"2019-04-18",25,109,44,"night"
"2019-04-18",25,101,73,"night"
"2019-04-18",25,31,677,"daily"
"2019-04-18",25,36,417,"daily"
"2019-04-18",25,5,4243,"daily"
"2019-04-18",25,106,62,"night"
"2019-04-18",25,102,28,"night"
"2019-04-18",25,104,103,"night"
"2019-04-18",25,14,1538,"daily"
"2019-04-18",25,9,1949,"daily"
"2019-04-18",25,6,47,"daily"
"2019-04-18",25,46,122,"daily"
"2019-04-18",25,16,1483,"daily"
"2019-04-18",25,103,37,"night"
"2019-04-18",25,8,1094,"daily"
"2019-04-18",25,13,5960,"daily"
"2019-04-19",43,31,667,"daily"
"2019-04-19",43,28,6484,"daily"
"2019-04-19",43,29,1482,"daily"
"2019-04-19",43,33,1620,"daily"
"2019-04-19",43,41,282,"daily"
"2019-04-19",43,38,155,"daily"
"2019-04-19",43,32,284,"daily"
"2019-04-19",43,109,39,"night"
"2019-04-19",43,5,4396,"daily"
"2019-04-19",43,37,277,"daily"
"2019-04-19",43,110,115,"night"
"2019-04-19",43,27,252,"daily"
"2019-04-19",43,25,1901,"daily"
"2019-04-19",43,45,823,"daily"
"2019-04-19",43,36,512,"daily"
"2019-04-19",43,26,2710,"daily"
"2019-04-19",43,42,313,"daily"
"2019-04-19",43,24,297,"daily"
"2019-04-19",43,108,48,"night"
"2019-04-19",43,35,132,"daily"
"2019-04-19",43,102,35,"night"
"2019-04-19",43,101,81,"night"
"2019-04-19",43,6,17,"daily"
"2019-04-19",43,106,91,"night"
"2019-04-19",43,104,119,"night"
"2019-04-19",43,23,249,"daily"
"2019-04-19",43,103,81,"night"
"2019-04-19",43,14,1655,"daily"
"2019-04-19",43,46,118,"daily"
"2019-04-19",43,16,2441,"daily"
"2019-04-19",43,17,2035,"daily"
"2019-04-19",43,13,6280,"daily"
"2019-04-19",43,21,885,"daily"
"2019-04-19",43,19,1286,"daily"
"2019-04-19",43,9,2062,"daily"
"2019-04-19",43,8,1181,"daily"
"2019-04-19",43,18,965,"daily"
"2019-04-20",13,5,6841,"daily"
"2019-04-20",13,6,36,"daily"
"2019-04-20",13,106,237,"night"
"2019-04-20",13,25,2648,"daily"
"2019-04-20",13,104,187,"night"
"2019-04-20",13,26,3755,"daily"
"2019-04-20",13,38,185,"daily"
"2019-04-20",13,41,455,"daily"
"2019-04-20",13,103,215,"night"
"2019-04-20",13,37,634,"daily"
"2019-04-20",13,23,470,"daily"
"2019-04-20",13,24,1181,"daily"
"2019-04-20",13,110,234,"night"
"2019-04-20",13,45,977,"daily"
"2019-04-20",13,8,1660,"daily"
"2019-04-20",13,36,783,"daily"
"2019-04-20",13,101,183,"night"
"2019-04-20",13,102,82,"night"
"2019-04-20",13,46,140,"daily"
"2019-04-20",13,13,7618,"daily"
"2019-04-20",13,35,135,"daily"
"2019-04-20",13,19,1347,"daily"
"2019-04-20",13,42,390,"daily"
"2019-04-20",13,33,2625,"daily"
"2019-04-20",13,108,92,"night"
"2019-04-20",13,17,2440,"daily"
"2019-04-20",13,21,1362,"daily"
"2019-04-20",13,9,2427,"daily"
"2019-04-20",13,32,439,"daily"
"2019-04-20",13,29,2200,"daily"
"2019-04-20",13,27,1115,"daily"
"2019-04-20",13,16,2910,"daily"
"2019-04-20",13,31,1362,"daily"
"2019-04-20",13,18,1288,"daily"
"2019-04-20",13,14,2328,"daily"
"2019-04-20",13,109,51,"night"
"2019-04-20",13,28,8257,"daily"
"2019-04-21",43,102,13,"night"
"2019-04-21",43,45,766,"daily"
"2019-04-21",43,17,1768,"daily"
"2019-04-21",43,104,63,"night"
"2019-04-21",43,14,1473,"daily"
"2019-04-21",43,101,34,"night"
"2019-04-21",43,37,239,"daily"
"2019-04-21",43,19,893,"daily"
"2019-04-21",43,9,1875,"daily"
"2019-04-21",43,38,138,"daily"
"2019-04-21",43,41,266,"daily"
"2019-04-21",43,36,442,"daily"
"2019-04-21",43,103,22,"night"
"2019-04-21",43,16,1723,"daily"
"2019-04-21",43,35,114,"daily"
"2019-04-21",43,110,41,"night"
"2019-04-21",43,6,37,"daily"
"2019-04-21",43,42,291,"daily"
"2019-04-21",43,109,12,"night"
"2019-04-21",43,29,1326,"daily"
"2019-04-21",43,31,601,"daily"
"2019-04-21",43,46,84,"daily"
"2019-04-21",43,8,1015,"daily"
"2019-04-21",43,25,1500,"daily"
"2019-04-21",43,108,22,"night"
"2019-04-21",43,5,3608,"daily"
"2019-04-21",43,106,42,"night"
"2019-04-21",43,33,1169,"daily"
"2019-04-21",43,24,265,"daily"
"2019-04-21",43,13,5227,"daily"
"2019-04-21",43,32,216,"daily"
"2019-04-21",43,18,783,"daily"
"2019-04-21",43,28,5661,"daily"
"2019-04-21",43,26,2203,"daily"
"2019-04-21",43,23,190,"daily"
"2019-04-21",43,27,267,"daily"
"2019-04-21",43,21,640,"daily"
"2019-04-22",13,45,804,"daily"
"2019-04-22",13,42,328,"daily"
"2019-04-22",13,16,1533,"daily"
"2019-04-22",13,46,75,"daily"
"2019-04-22",13,26,2061,"daily"
"2019-04-22",13,14,1652,"daily"
"2019-04-22",13,27,264,"daily"
"2019-04-22",13,6,21,"daily"
"2019-04-22",13,9,1865,"daily"
"2019-04-22",13,41,222,"daily"
"2019-04-22",13,13,5818,"daily"
"2019-04-22",13,8,1142,"daily"
"2019-04-22",13,24,326,"daily"
"2019-04-22",13,25,1523,"daily"
"2019-04-22",13,38,129,"daily"
"2019-04-22",13,32,234,"daily"
"2019-04-22",13,17,1924,"daily"
"2019-04-22",13,36,483,"daily"
"2019-04-22",13,19,1038,"daily"
"2019-04-22",13,29,1363,"daily"
"2019-04-22",13,5,3573,"daily"
"2019-04-22",13,28,5760,"daily"
"2019-04-22",13,37,333,"daily"
"2019-04-22",13,35,115,"daily"
"2019-04-22",13,33,1414,"daily"
"2019-04-22",13,23,199,"daily"
"2019-04-22",13,18,916,"daily"
"2019-04-22",13,31,700,"daily"
"2019-04-22",13,21,738,"daily"
"2019-04-23",26,21,1377,"daily"
"2019-04-23",26,36,1246,"daily"
"2019-04-23",26,23,664,"daily"
"2019-04-23",26,17,5462,"daily"
"2019-04-23",26,38,288,"daily"
"2019-04-23",26,37,847,"daily"
"2019-04-23",26,35,439,"daily"
"2019-04-23",26,13,8434,"daily"
"2019-04-23",26,6,30,"daily"
"2019-04-23",26,5,7473,"daily"
"2019-04-23",26,8,2047,"daily"
"2019-04-23",26,25,2726,"daily"
"2019-04-23",26,14,3236,"daily"
"2019-04-23",26,19,1466,"daily"
"2019-04-23",26,9,2822,"daily"
"2019-04-23",26,16,1081,"daily"
"2019-04-23",26,26,4348,"daily"
"2019-04-23",26,24,2014,"daily"
"2019-04-23",26,18,1717,"daily"
"2019-04-23",26,31,2145,"daily"
"2019-04-23",26,32,686,"daily"
"2019-04-23",26,27,1868,"daily"
"2019-04-23",26,41,766,"daily"
"2019-04-23",26,43,234,"daily"
"2019-04-23",26,45,1057,"daily"
"2019-04-23",26,33,3198,"daily"
"2019-04-23",26,29,2613,"daily"
"2019-04-23",26,40,1620,"daily"
"2019-04-23",26,46,174,"daily"
"2019-04-23",26,28,10761,"daily"
"2019-04-23",26,42,364,"daily"
"2019-04-24",25,41,882,"daily"
"2019-04-24",25,27,2089,"daily"
"2019-04-24",25,38,302,"daily"
"2019-04-24",25,40,1668,"daily"
"2019-04-24",25,31,2247,"daily"
"2019-04-24",25,14,3170,"daily"
"2019-04-24",25,9,3112,"daily"
"2019-04-24",25,37,868,"daily"
"2019-04-24",25,32,675,"daily"
"2019-04-24",25,25,2815,"daily"
"2019-04-24",25,26,4345,"daily"
"2019-04-24",25,24,2106,"daily"
"2019-04-24",25,23,674,"daily"
"2019-04-24",25,29,2535,"daily"
"2019-04-24",25,13,9186,"daily"
"2019-04-24",25,36,1375,"daily"
"2019-04-24",25,35,522,"daily"
"2019-04-24",25,16,1349,"daily"
"2019-04-24",25,8,2064,"daily"
"2019-04-24",25,17,5764,"daily"
"2019-04-24",25,6,43,"daily"
"2019-04-24",25,43,234,"daily"
"2019-04-24",25,28,11528,"daily"
"2019-04-24",25,33,3507,"daily"
"2019-04-24",25,21,1620,"daily"
"2019-04-24",25,18,1855,"daily"
"2019-04-24",25,5,8277,"daily"
"2019-04-24",25,42,352,"daily"
"2019-04-24",25,19,1434,"daily"
"2019-04-24",25,46,156,"daily"
"2019-04-24",25,45,1279,"daily"
"2019-04-25",43,38,270,"daily"
"2019-04-25",43,37,860,"daily"
"2019-04-25",43,32,725,"daily"
"2019-04-25",43,13,9361,"daily"
"2019-04-25",43,16,1484,"daily"
"2019-04-25",43,9,2858,"daily"
"2019-04-25",43,28,12405,"daily"
"2019-04-25",43,33,3465,"daily"
"2019-04-25",43,26,4644,"daily"
"2019-04-25",43,31,2451,"daily"
"2019-04-25",43,8,2030,"daily"
"2019-04-25",43,27,2468,"daily"
"2019-04-25",43,43,251,"daily"
"2019-04-25",43,24,2077,"daily"
"2019-04-25",43,36,1331,"daily"
"2019-04-25",43,29,2438,"daily"
"2019-04-25",43,46,173,"daily"
"2019-04-25",43,41,809,"daily"
"2019-04-25",43,19,1548,"daily"
"2019-04-25",43,35,465,"daily"
"2019-04-25",43,45,1144,"daily"
"2019-04-25",43,6,64,"daily"
"2019-04-25",43,18,1823,"daily"
"2019-04-25",43,40,1616,"daily"
"2019-04-25",43,14,3290,"daily"
"2019-04-25",43,42,345,"daily"
"2019-04-25",43,25,2693,"daily"
"2019-04-25",43,17,6469,"daily"
"2019-04-25",43,21,1545,"daily"
"2019-04-25",43,5,8748,"daily"
"2019-04-25",43,23,691,"daily"
"2019-04-26",26,102,22,"night"
"2019-04-26",26,110,97,"night"
"2019-04-26",26,9,3225,"daily"
"2019-04-26",26,27,2164,"daily"
"2019-04-26",26,14,3263,"daily"
"2019-04-26",26,101,65,"night"
"2019-04-26",26,8,2026,"daily"
"2019-04-26",26,45,1184,"daily"
"2019-04-26",26,13,9327,"daily"
"2019-04-26",26,46,165,"daily"
"2019-04-26",26,103,52,"night"
"2019-04-26",26,106,75,"night"
"2019-04-26",26,43,227,"daily"
"2019-04-26",26,26,4645,"daily"
"2019-04-26",26,42,374,"daily"
"2019-04-26",26,109,26,"night"
"2019-04-26",26,6,35,"daily"
"2019-04-26",26,104,125,"night"
"2019-04-26",26,35,455,"daily"
"2019-04-26",26,16,1128,"daily"
"2019-04-26",26,108,49,"night"
"2019-04-26",26,18,1847,"daily"
"2019-04-26",26,25,3015,"daily"
"2019-04-26",26,21,1374,"daily"
"2019-04-26",26,17,5826,"daily"
"2019-04-26",26,5,7671,"daily"
"2019-04-26",26,31,2281,"daily"
"2019-04-26",26,41,916,"daily"
"2019-04-26",26,28,11050,"daily"
"2019-04-26",26,32,666,"daily"
"2019-04-26",26,24,2168,"daily"
"2019-04-26",26,33,3441,"daily"
"2019-04-26",26,19,1624,"daily"
"2019-04-26",26,23,629,"daily"
"2019-04-26",26,29,2524,"daily"
"2019-04-26",26,40,1543,"daily"
"2019-04-26",26,38,280,"daily"
"2019-04-26",26,36,1238,"daily"
"2019-04-26",26,37,836,"daily"
"2019-04-27",45,5,6569,"daily"
"2019-04-27",45,106,294,"night"
"2019-04-27",45,108,139,"night"
"2019-04-27",45,23,568,"daily"
